,Unnamed: 0,Company_name,Date,Analyst,Analyst_bank,Question,Executive_Name,Executive_position,Answer,Analytics_order,Analytics_question_order,Exec_answer_order
4631,10,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Mike Olson , Piper Jaffray,"Hey, good morning. I think you said that mobile was 10% of hotel bookings in the quarter. And as China online travel continues to take share from offline, how important is mobile to furthering that transition and how much do you expect mobile will be of hotel bookings for the entire year for 2013?",Min Fan, President and CEO,"Yeah. I think last year we already see our mobile booking volume accounts for more than 10% of our total hotel transaction volume. So for this year I'm sure there will be still very fast and strong growth in this field. Since we have a strong team for mobile app design and interface and also I should say Ctrip wireless app is one of the first travel mobile apps to support LBS services and voice recognition. Our team continuous upgrades the platform and enrich the content to provide very good quality service based on our customer, mobile customers' feedback and booking habits. So definitely we are very confident that Ctrip still will be a far ahead leader in this field in the market.",5.0,1.0,1.0
4632,11,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Mike Olson , Piper Jaffray,"Okay. And then I wanted to ask you about travel metasearch. Travel metasearch is a fast-growing category in the US and Europe, and can you just talk about how you expect travel metasearch to grow or not grow in China and why you think that? And how would growth of travel metasearch sites impact Ctrip?",Jane Sun, COO,"Sure. I think every company has its strengths. Travel metasearch definitely has its convenience for the users, but we believe that in order for a customer to have full services, price searching is one part of the required services. After the search of the price, somebody needs to do a good job to do the fulfillment cycle. And that cycle is very well handled by Ctrip. And if you look at the US market which represents the future for China market as well, travel metasearch, Kayak does a very good job in price searching. But compared to Expedia and also Booking, their sizing and the service they can provide relatively is smaller. And recently I think they also teamed up with Booking. So everyone has its strengths and everyone provides the value to the consumers, but we believe OTA model still is the most comprehensive model for the users. And if you look at the more developed countries, that has been proven to be the model so far.",5.0,2.0,1.0
4633,12,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Ming Zhao , 86 Research,"Thank you. So a follow-up question on the margin. You're talking about flat margin from Q4 to Q1. However, you're going to report a lower top line Q-on-Q. You're also going to apply air ticketing coupon. So, how can you maintain a flattish operating margin? Is it because you're cutting hotel coupon rate further or are you cutting marketing expense? Thank you.",Jane Sun, COO,"For Q1, our margin guidance reflects the impact of the coupon program, and we will do it in a couple of ways. First of all, I think through the coupon program, on the revenue per ticket perspective, it will have a decrease. But we will work very hard to make sure the volume will partially offset that impact. Secondly, internally we will also work very hard to make sure our operation is as effective as possible. So I think for Q1 the guidance has reflected everything we can see so far.",6.0,1.0,1.0
4634,13,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alex Yao , Deutsche Bank,"Hi. Good morning everyone and thank you very much for taking my question. My first question is on the investment side. In the previous calls, you guys mentioned that investment in 2012 would cause about 4 percentage point margin impact. How would you review the achievements so far from this investment and how do you guide to think about investments in 2013, and what could be the financial impact? Thank you.",Jane Sun, COO,"Investment in the product line and also in technology is ongoing effort. So we will maintain certain level of the investment. In 2012 we have invested in many new products and each line of business has been delivering the results meeting our expectation. So we are very positive in their growth. In 2013, we will still maintain certain level of the investment, and that has been taking into consideration of the guidance Jenny has given to everyone.",7.0,1.0,1.0
4635,14,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alex Yao , Deutsche Bank,"Got it, thank you. Second question is a follow-up on the air ticket cash rebate. Based on our estimate, your air ticket volume is more than 15 times bigger than the second largest OTA in China. Given such a big difference, from which part, from which channel would you expect it to gain volume from by offering these coupons? Thank you.",Jane Sun, COO,"Yeah. I think air ticketing coupon is one of the strategies we adopt. We believe in order to extend our leadership, every branch needs to stay strong, including our product comprehensiveness, including our IT technology team, including our product and pricing. The coupon give us a leap on the pricing, but we also need to make sure our product is the most comprehensive, which we -- Ctrip does have the advantage in the market because we're the only platform which offers tickets, hotel, package tour, corporate travel and many other services. So if we have a comprehensive solution coupled with the air ticketing coupon, we believe our competitive advantage will be extended.",7.0,2.0,1.0
4636,15,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alex Yao , Deutsche Bank,"Got it, thank you. Second question is a follow-up on the air ticket cash rebate. Based on our estimate, your air ticket volume is more than 15 times bigger than the second largest OTA in China. Given such a big difference, from which part, from which channel would you expect it to gain volume from by offering these coupons? Thank you.",Jenny Wu, Deputy CFO,"The leisure travel and online travel is growing at a very robust pace and we would consider continue to see this fast growth in 2013, and we also see the continued offline to online migration. So that's one part, and we will see the core market size will continue to expand. And secondly for Ctrip, our market share in the market is still relatively small. We would expect to at least we can proactively embrace the market opportunity and to gain more market share from all fronts.",7.0,2.0,2.0
4637,16,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Aaron Kessler , Raymond James,"Yes, thank you. A couple of questions. First, just to clarify on the air revenue growth, I believe you said 15% to 20%, but then I believe you also said volume growth of roughly 15% to 20%. Can you just clarify? It doesn’t sound like there's impact from the coupon in the guidance for Q1, unless I missed something.",Jenny Wu, Deputy CFO,"Sure. For air ticketing for 1Q, both volume and revenue growth will be around 15% to 20%. And you're right, the air ticketing coupon impact in 1Q will be limited. And as Jane just mentioned, we were methodically to design the whole marketing campaign and to fine-tune our tactics and the coverage and the magnitude according to the market conditions. And for 1Q the impact will be limited. For the rest of the year it will -- we will adjust, fine-tune based on the market situation.",8.0,1.0,1.0
4638,17,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Aaron Kessler , Raymond James,"Okay. And then I have just a follow-up question in terms of the air coupons also. I mean the hotel commission rates are much greater than the air commission rates for you, and so there's probably more of an incentive for consumer to opt for the lower-priced hotels, where they probably wouldn't save much on the air coupon. So just maybe if you can talk about, I mean, is a rebate on the air coupon of just a few dollars, is that enough to really gain further market share on the air whereas hotel may be more compelling?",Jane Sun, COO,"Again I think just having a cash coupon is not enough to compete in the market. Ctrip's competitive advantage has to be in service, pricing, product, IT and branding. All these five items are very important for us. So, coupon is one of the measures that will be taken by us to leap forward in the market.",8.0,2.0,1.0
4639,18,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Aaron Kessler , Raymond James,"Great. And just a final question, can you talk a little bit about the wholesale pricing environment? We were hearing I guess some of the hotels, it sounds like, pulled out of companies that were offering [post-sale] prices on other websites.",Jane Sun, COO,"Yeah. First of all, wholesale price only represents a very small portion of the total volume in the market. So that's very limited. Secondly, if the price is listed online and if it is legal and supported by the hotels, Ctrip as the largest OTA should be able to get it for our customers. And thirdly, if the price is not supported by the hotel or it is not legal, then hotel will discipline all the players in the market to create a very healthy ecosystem. And Ctrip is very much in supportive of hotels' initiatives.",8.0,3.0,1.0
4640,19,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"Hi, good morning. Thanks for taking my questions. So my first question is actually a follow-up on the air. I know that you said probably 1Q will be more limited. But just wanted to get a sense like, you know, what will be your tactic? For example, are you going to follow your competitor like from route to route matching dollar to dollar like the one that you did on the hotel coupon side? And then for -- the other thing is that will airline, what is the airline views on the OTA doing the discounting? Would that be impacting their direct sales? And how will airline react on that? That's my first question.",Jane Sun, COO,"Sure. For ticket, I think we will study each line very carefully. Some of the routes probably are selling well, it doesn’t take too much effort to sell. Some of the routes might take some effort to promote. And we'll work with the airlines to make sure the sales and marketing campaign we put into these markets will help airlines as well as help our customers to best utilize all the capability in the airline routes. So we'll make sure we work with all the planners to develop our strategy.",9.0,1.0,1.0
4641,20,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"So, does that mean that airline is actually supporting on you guys doing air couponing?",Jane Sun, COO,We will of course work with all our business partners when we develop our marketing strategy.,9.0,2.0,1.0
4642,21,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"Okay. And then when you say 1Q is more limited, so does that mean from time to time these things are [accelerating], you probably will increase your magnitude of the discount? Does that mean probably throughout the rest of the year we may see further margin decline if that is the case?",Jane Sun, COO,"So, first of all, our priority is very clear, market grows fast, Ctrip's market share is very small. So in this fast-growing market, our priority is extend our leadership into the market. Secondly, when we do the detailed execution, we'll be very prudent to make sure everything we design will create the best value for our company and for our shareholders.",9.0,3.0,1.0
4643,22,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"I see. And then my second question, very quickly, is on recently there were some comments that you laid off some sales ground employees. So, what exactly happened there? Is that true? And if that's so, are you actually moving more sales and marketing campaigns through online channel with the shift of the online booking that is happening? And is there any plan for you to actually cut down your call center employee as well?",Min Fan, President and CEO,"Okay. I think the expect in the past years were always -- we always study our sales channel, study the efficiency of different kind of sales channel, including marketing channels. Reducing sales presence in some airports is our consistent effort to optimize the return on investment of sales marketing. As we continue to evaluate the efficiency of these marketing channels, we will allocate our resources to more effective ones. So that's why you may know that we later in the next half of last year, we adjust some offline channels in some airports. While we're becoming more dominant in the online business travel segment, our focus right now is to penetrate more into the leisure travel market. So with that, we will allocate more resources to the channels which can generate more effective return such as online channels, such as some efficient marketing channels. So I think it's an ongoing process for us to maximum our return on investment of sales and marketing channels.",9.0,4.0,1.0
4644,23,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"I see. And then my second question, very quickly, is on recently there were some comments that you laid off some sales ground employees. So, what exactly happened there? Is that true? And if that's so, are you actually moving more sales and marketing campaigns through online channel with the shift of the online booking that is happening? And is there any plan for you to actually cut down your call center employee as well?",Jenny Wu, Deputy CFO,And just I'll add. We noticed that there's a lot of false comments in the news about how we handled the layoff and that we care and appreciate our employees very much which [inaudible] being our corporate culture. We help most of our affected employees to relocate to other departments internally based on their talent and experience. And we also make the decent compensation to our affected employees which are totally lawful and considerate way.,9.0,4.0,2.0
4645,24,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"I see. Can I just quickly follow-up on the call center employees? So, given more and more bookings shifting online, do you have any plans to be more efficient on that line?",Jane Sun, COO,"Yeah. Call center is still a very important part of our business. The growth on the call center volume still grows very strongly. So, yeah, the volume -- our hiring still matches our growth in volume.",9.0,5.0,1.0
4646,25,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"I see. Can I just quickly follow-up on the call center employees? So, given more and more bookings shifting online, do you have any plans to be more efficient on that line?",Min Fan, President and CEO,"Yeah. And also I think for call center, still in the market, there are still some people that are very, you know, very easy to use call center, very -- they would like to choose offline service. So for this part of the customers, Ctrip definitely is the number one and the best service company in the market. So that's why we're still having our call center service, is the, you know, one of our core competence to attract our target customers.",9.0,5.0,2.0
4647,26,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Alicia Yap , Barclays Capital,"I see. Can I just quickly follow-up on the call center employees? So, given more and more bookings shifting online, do you have any plans to be more efficient on that line?",Jane Sun, COO,And also the customers who are using call center are very high-end users based on our study. So we'll provide the best service for them.,9.0,5.0,3.0
4648,27,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Eddie Leung , Merrill Lynch,"Hi, good morning. Thank you for taking my questions. I basically have two questions. The first one is a follow-up questions on your hotel couponing program. Could you give us an update on the hotel partnership as well as the customer redemption rate? Are we seeing stabilization and uptrend or a downtrend?",Jane Sun, COO,"Yes, Eddie. Trend is stabilizing, so we're monitoring the change very carefully. But so far as we discussed, our guidance has reflected the hotel couponing is stabilizing.",10.0,1.0,1.0
4649,28,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Eddie Leung , Merrill Lynch,"Got it. And then my second question is also a follow-up question on your strategy on air ticketing side. It's pretty interesting to hear that you guys are focusing on market share gain. So we understand that Ctrip already being number in the business, although I agree that your market share could be a bit small. But putting it that way, are we anticipating any change in the commission structure of the airlines which would put a bigger focus on the market share of the distributors?",Jane Sun, COO,"So far commission is stabilizing, so we do not see any changes.",10.0,2.0,1.0
4650,29,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Fawne Jiang , Brean Murray,"Good morning. Thank you for taking my questions. First one is actually a quick follow-up on the air couponing program. Just wonder, what's the official timing of launching the program? Secondly, regarding the coupon program, I guess will customer who has coupon or gained coupon through their hotel booking, will that, I guess, will that coupon be applied to your air program or is air coupon program will be very separate from your hotel coupon program?",Jane Sun, COO,"Sure. First of all, timing, I think we're still designing and completing the program, but very much likely to be after the Chinese New Year when the market slows down. Secondly, in terms of the cross-selling, yeah, definitely I think we take into consideration of the comprehensiveness of our product. So we will use all our strengths in different products to make sure the coupon program will generate the best return for our overall revenue, not only air ticket but also hotel, but also package tour. So when we design it, we'll use many smart ways to design our coupon program.",11.0,1.0,1.0
4651,30,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Fawne Jiang , Brean Murray,"Got it. Thanks, Jane. Second question is actually regarding your margin. I do understand we're probably early in the year and there are still a lot of moving parts. But just wonder, compared with your 2012, out of the major lines that have impacted your margin 2012, where we may potentially see some step-up on the cost side or where we may potentially see some leverage or saving? Just some color around that in terms of like marketing direction, that'll be very helpful.",Jane Sun, COO,"I think as we discussed, Q1 margin guidance has taken into consideration everything we can see so far. And when we move forward into Q2 and Q3 as the business has been evolving, we'll have better visibility and we'll give you more detailed margin guidance at that time.",11.0,2.0,1.0
4652,31,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Wendy Huang , CIMB,"Thank you. First I have a follow-up on the air ticketing coupon's impact. Historically you've provided a very detailed quantitative analysis on the hotel coupon's impact on the margin side and how you will recognize those impacts. I just wonder, by the time that we have full quarter impact from the air coupon program, how will that recognition be different from the hotel coupon program and also how will the margin impact on the gross level and operating level? Thank you.",Jane Sun, COO,"So in terms of accounting, the treatment will be similar to hotel coupon. In terms of the impact, in terms of dollar amount, again as we discussed before, Q1 number is already included in our guidance. And going forward, Q2 and Q3, we need to wait until we get a bit better visibility and give you a very detailed guidance as we always do going forward. So we need to get more visibility before we can give you a more detailed guidance on the margin.",12.0,1.0,1.0
4653,32,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Wendy Huang , CIMB,"Okay. Second question is, among the third-party air ticketing booking platforms, who do you consider as the major competitors? I don’t really think eLong is a major competitor in this arena right now. So, who are those guys? Thank you.",Jane Sun, COO,"I think the market is so fragmented, I think Ctrip is focused on our own strategy. There are many players who can always grow. But in terms of competitive advantage, because Ctrip not only has air ticketing business, also have hotel and package tour, I think as the user getting onto Ctrip's platform, we'll enable them to do one-stop shopping plus a very high quality of the service, plus the reliability of the pricing and product. So overall we believe, if we keep up with our strong execution, we have very good advantage to leap forward. But obviously the market grows so fast, I think all the players will enjoy their growth.",12.0,2.0,1.0
4654,33,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Wendy Huang , CIMB,"Right. Actually, Jane, I'm just referring to the third-party air ticketing booking platform, since you have more than 10% volume share in the total air ticketing market, I just wonder, among the third-party guys, is any of them actually taking maybe 2% to 5% volume share based on your observation?",Jane Sun, COO,"Because we -- in terms of the OTA market, there are only two companies who are publicly listed, so this information is readily available, everyone can read it. All the other companies' information, you know, we don't have official data, so probably you know as well as we do for the official numbers.",12.0,3.0,1.0
4655,34,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Wendy Huang , CIMB,"Okay. Finally, I remember that three years ago when you just started to expand into the lower-end hotel and low-tier cities, you set up Starway Hotel alliances. However, I noticed last year you actually sold a majority stake of that company to [Hanqing]. So I just wonder, what has changed in your expansion into the lower-end hotels that has made you to -- sold a company that you [shed out] from the beginning to affiliated company? Thank you.",Min Fan, President and CEO,"Yeah. For Starway Alliance, in fact it's a kind of a marketing alliance association organization and it's mainly operating within the -- along the three-star hotels, this kind of level. And since Ctrip will have many things to handle and we are focused very much on our core business, so we spinning off this company and we hope we can focus more on our main stream business line. But for the budget hotel side and also for the middle scale hotel side, for 2012 the hotel booking volume from these product lines will see very healthy growth and also very strong growth. So that means for the year path we have very good strategy on this field. Yeah.",12.0,4.0,1.0
4656,35,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Tian Hao , T.H. Capital,"Yeah, I have two questions. The first one is about your share account on the fully diluted basis, I saw some increase from Q3 to Q4 level, and would you please elaborate the detail changes, where the gain is, where the decrease comes from? So that would be very helpful for me.",Jenny Wu, Deputy CFO,"There's two parts. First one, we purchased back shares aggressively, so it decreased the share count by roughly 3 million. And on the other hand, in fourth quarter -- in late third quarter we issued a CB, and the underlying shares associated with CB is about 9.3 million. And based on the GAAP requirement, it should be treated as converted basis. So this 9.3 million shares, ADR should be left into the calculation of liability ADRs. And so this will imply about a 6% to 7% of dilution. And as of the 4Q, we have about 145 million ADR and I think we can use that like the baseline for 1Q and 2013.",13.0,1.0,1.0
4657,36,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Tian Hao , T.H. Capital,"Okay, that's very helpful. The second question is still really, you know, I tried to get some clarification for air ticketing rebate program, so I really want to understand how that work. I saw a lot of, you know, rebate program attached to your flight information on your website, a lot of them. So, are you saying, even though there are a lot of attached rebate, you're not actually using it in Q1? So if you start to use it, how are you going to -- how it's going to, you know, volume and the revenue still the same growth? I really can't get that math right and I need some help on that front.",Jane Sun, COO,"Sure. As you have seen in the hotel coupon program, when we issued a coupon, volume will have a pick-up. So, volume will increase quite large, which will be partially offset by the decrease on the per hotel commission basis. So the impact on the revenue is a dynamic formula which takes into consideration the increase of the volume and decrease on the per room night income. So we are hoping when we render coupon, we set our priority to take market share. On the other hand, I think we will also carefully design the program so that the revenue gets the best return, our overall revenue portfolio.",13.0,2.0,1.0
4658,37,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Tian Hao , T.H. Capital,"So that is for the air ticketing, so if you book one ticket, for example, if it's a RMB1,000 ticket, you get RMB40 in commission, then your rebate program, like RMB80 to RMB110, so you actually have a net loss. So, how could you at the end the volume growth is still in line with your revenue growth in -- not hotel, in the airline front?",Jane Sun, COO,"So again we are still designing our program. Of course when the final program comes out, the end-result has taken into consideration of the revenue growth so that we don't have a negative revenue.",13.0,3.0,1.0
4659,38,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Tian Hao , T.H. Capital,Sure.,Jane Sun, COO,"But on the other hand, we also need to achieve our goal to gain market share. So the program is still being designed and we will take into consideration of the two dynamic parts to make sure the return for each dollar we spend is maximized.",13.0,4.0,1.0
